,Model Name,Product URL,Filename,Company,Type,Category Tags,Width (cm),Height (cm),Origin Country,Application
458,DXO 5353D,https://sg.lamitak.com/hayden-feltro,dxo_5353d_hayden_feltro_4x8_base_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
459,DXO 5354D,https://sg.lamitak.com/erden-feltro,dxo_5354d_erden_feltro_4x8_base_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
460,DXO 5356D,https://sg.lamitak.com/altan-feltro,dxo_5356d_altan_feltro_4x8_base_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
461,DXO 1353D,https://sg.lamitak.com/catalog/product/view/id/14073/s/nero-caraceni/category/318/,dxo_1353d_nero_caraceni_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
462,DXO 1352D,https://sg.lamitak.com/catalog/product/view/id/14066/s/grigio-caraceni/category/318/,dxo_1352d_grigio_caraceni_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
463,DXO 1338D,https://sg.lamitak.com/bruno-caraceni,dxo_1338d_bruno_caraceni_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
464,DXO 1337D,https://sg.lamitak.com/bianco-caraceni,dxo_1337d_bianco_caraceni_thumbnail.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
465,ARTE 1020 DC,https://sg.lamitak.com/savile-clifford,lamitak_savile_clifford_arte_1020_dc_2.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
466,ARTE 1018 D,https://sg.lamitak.com/savile-regent,lamitak_savile_regent_arte_1018_d_1.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
467,ARTE 1021 DC,https://sg.lamitak.com/savile-maddox,lamitak_savile_maddox_arte_1021_dc.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
468,ARTE 1019 D,https://sg.lamitak.com/savile-george,lamitak_savile_george_arte_1019_d.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
469,ARTE 1023 DC,https://sg.lamitak.com/savile-vigo,lamitak_savile_vigo_arte_1023_dc_1.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
470,ARTE 1022 DC,https://sg.lamitak.com/savile-conduit,lamitak_savile_conduit_arte_1022_dc.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
471,DXO 5321B,https://sg.lamitak.com/expresso-luxe,dxo_5321b_expresso_luxe_4x8_base_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
472,DXO 5320B,https://sg.lamitak.com/cocoa-luxe,dxo_5320b_cocoa_luxe_4x8_base_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
473,DXO 5318B,https://sg.lamitak.com/creme-luxe,dxo_5318b_creme_luxe_4x8_base_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
474,DXN 5102B,https://sg.lamitak.com/ivory-luxe,dxn_5102b_ivory_luxe_4x8_base_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
475,DXO 5319B,https://sg.lamitak.com/godiva-luxe,dxo_5319b_godiva_luxe_4x8_base_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
476,DXO 1108B,https://sg.lamitak.com/nappa-noir,dxo_1108b_nappa_noir_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
477,DXO 1113B,https://sg.lamitak.com/nappa-chocolatier,dxo_1113b_nappa_chocolatier_thumbnail_1.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
478,DXO 1109B,https://sg.lamitak.com/nappa-lofty,dxo_1109b_nappa_lofty_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
479,DXO 1144B,https://sg.lamitak.com/nappa-blanco,dxo_1144b_nappa_blanco_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
480,DXO 1141B,https://sg.lamitak.com/nappa-misty-grey,dxo_1141b_nappa_misty_grey_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
481,MEP 1404XM,https://sg.lamitak.com/ivory-metallic-supermatt,lamitak_-_ivory_metallic_mep_1404xm_thumbnail.jpg,lamitak,Laminate,", Supermatt Finish",None,None,None,Carpentry
482,MEP 1403XM,https://sg.lamitak.com/tafetta-metallic-supermatt,lamitak_-_tafetta_metallic_mep_1403xm_thumbnail.jpg,lamitak,Laminate,", Supermatt Finish",None,None,None,Carpentry
483,MEP 1407XM,https://sg.lamitak.com/greige-metallic,lamitak_-_greige_metallic_mep_1407xm_thumbnail.jpg,lamitak,Laminate,", Supermatt Finish",None,None,None,Carpentry
484,MEP 1406XM,https://sg.lamitak.com/grey-metallic,lamitak_-_grey_metallic_mep_1406xm_thumbnail.jpg,lamitak,Laminate,", Supermatt Finish",None,None,None,Carpentry
485,MTA 1108XL,https://sg.lamitak.com/catalog/product/view/id/14088/s/brushed-black/category/318/,mta_1108xl_brushed_black_4x8_base_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
486,MTA 1402XL,https://sg.lamitak.com/catalog/product/view/id/14085/s/brushed-mercury/category/318/,mta_1402xl_brushed_mercury_4x8_base_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
487,MTA 1153XL,https://sg.lamitak.com/catalog/product/view/id/14082/s/brushed-white/category/318/,mta_1153xl_brushed_white_4x8_base_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
488,MTA 9310XL,https://sg.lamitak.com/catalog/product/view/id/14079/s/brushed-alumina/category/318/,mta_9310xl_brushed_alumina_4x8_base_thumbnail.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
489,ATS 1113 M,https://sg.lamitak.com/chocolatier-pro,lamitak_chocolatier_pro_ats_1113_m_7.jpg,lamitak,Laminate,"Matt, Matt Finish",None,None,None,Carpentry
490,ATS 1108 M,https://sg.lamitak.com/basic-black-pro,lamitak_basic_black_pro__ats_1108_m_3_1.jpg,lamitak,Laminate,"Matt, Matt Finish",None,None,None,Carpentry
491,ATS 1124 M,https://sg.lamitak.com/nautical-pro,lamitak_nautical_pro_ats_1124_m.jpg,lamitak,Laminate,"Matt, Matt Finish",None,None,None,Carpentry
492,ATS 1172 M,https://sg.lamitak.com/espalier-pro,lamitak_espalier_pro_ats_1172_m_1.jpg,lamitak,Laminate,"Matt, Matt Finish",None,None,None,Carpentry
493,ATS 1163 M,https://sg.lamitak.com/brunswick-pro,lamitak_brunswick_pro_ats_1163_m_10.jpg,lamitak,Laminate,"Matt, Matt Finish",None,None,None,Carpentry
494,ATS 1135 M,https://sg.lamitak.com/wintry-grey-pro,lamitak_wintry_grey_pro_ats_1135_m_3.jpg,lamitak,Laminate,"Matt, Matt Finish",None,None,None,Carpentry
495,ATS 1165 M,https://sg.lamitak.com/truffle-pro,lamitak_truffle_pro_ats_1165_m_1.jpg,lamitak,Laminate,"Matt, Matt Finish",None,None,None,Carpentry
496,ATS 1150 M,https://sg.lamitak.com/taupe-pro,lamitak_taupe_pro_ats_1150_m_2.jpg,lamitak,Laminate,"Matt, Matt Finish",None,None,None,Carpentry
497,ATS 1132 M,https://sg.lamitak.com/nude-pro,lamitak_nude_pro_ats_1132_m_2.jpg,lamitak,Laminate,"Matt, Matt Finish",None,None,None,Carpentry
498,ATS 1149 M,https://sg.lamitak.com/iron-pro,lamitak_iron_pro_ats_1149_m.jpg,lamitak,Laminate,"Matt, Matt Finish",None,None,None,Carpentry
499,CCX 47201G,https://sg.lamitak.com/ivory-maple-wood-gloss,lamitak_ccx_47201g_ivory_maple_wood_gloss_4x8_thumbnail.jpg,lamitak,Laminate,", High Glossie Finish, Straight Grains",None,None,None,Carpentry
500,CCX 47202G,https://sg.lamitak.com/ginko-maple-wood-gloss,lamitak_ccx_47202g_ginko_maple_wood_gloss_4x8_thumbnail.jpg,lamitak,Laminate,"Maple, High Glossie Finish, Straight Grains",None,None,None,Carpentry
501,CCX 47202X,https://sg.lamitak.com/ginko-maple-wood,lamitak_ccx_47202x_ginko_maple_wood_4x8_thumbnail.jpg,lamitak,Laminate,"Maple, Textured Finish, Straight Grains",None,None,None,Carpentry
502,CC 47101G,https://sg.lamitak.com/catalog/product/view/id/13760/s/nude-core-glossie/category/312/,cc_47101g_nude_core_glossie_4x8_base_thumbnail.jpg,lamitak,Laminate,", High Glossie Finish",None,None,None,Carpentry
503,CCP 1371K,https://sg.lamitak.com/gustave-beton-lgr-core,lamitak_gustave_beton_lgr_core_ccp_1371k_2.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
504,CCP 1360K,https://sg.lamitak.com/lucio-ercolano-wht-core,lamitak_lucio_ercolano_wht_core_ccp_1360k.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
505,CCX  47201X,https://sg.lamitak.com/ivory-maple-wood,lamitak_ccx_47201x_ivory_maple_wood_4x8_thumbnail_1.jpg,lamitak,Laminate,", Textured Finish, Straight Grains",None,None,None,Carpentry
506,CCM 47401G,https://sg.lamitak.com/nude-core-shimmer,ccm_47401g_nude_core_shimmer_4x8_base_thumbnail_1.jpg,lamitak,Laminate,", High Glossie Finish",None,None,None,Carpentry
507,CC 47101B,https://sg.lamitak.com/nude-core-leather,cc_47101b_nude_core_leather_4x8_base_thumbnail_1.jpg,lamitak,Laminate,", Textured Finish",None,None,None,Carpentry
508,CC 47101S,https://sg.lamitak.com/nude-core,cc_47101s_nude_core_4x8_base_thumbnail_1.jpg,lamitak,Laminate,", Suede Finish",None,None,None,Carpentry
509,ART 11011 D,https://sg.lamitak.com/montignoso-due,art_11011d_montignoso_due_4x10_base_thumbnail_1.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
510,ART 11012 D,https://sg.lamitak.com/montignoso-uno,art_11012d_montignoso_uno_4x10_base_thumbnail_1.jpg,lamitak,Laminate,", Dri-matt® Finish",None,None,None,Carpentry
511,ART 1010 XM,https://sg.lamitak.com/lunigiana-due,art_1010xm_lunigiana_due_4x8_base_thumbnail_1.jpg,lamitak,Laminate,", Supermatt Finish",None,None,None,Carpentry
512,ART 1009 XM,https://sg.lamitak.com/catalog/product/view/id/14309/s/lunigiana-uno/category/312/,art_1009xm_lunigiana_uno_4x8_base_thumbnail.jpg,lamitak,Laminate,", Supermatt Finish",None,None,None,Carpentry
