,Application,Category Tags,Color B,Color Code,Color G,Color R,Company,Model Name,Model Number,Origin Country,Product URL,Type,Filename
52,Wall,,219.0,#dad8db,216.0,218.0,Nippon,Iris Tip,NP OW 1052 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1052-p/iris-tip,Paint,NP OW 1052 P.png
53,Wall,,223.0,#DBDCDF,220.0,219.0,Nippon,Velvet Touch,NP OW 1051 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1051-p/velvet-touch,Paint,NP OW 1051 P.png
54,Wall,,234.0,#EAEAEA,234.0,234.0,Nippon,Lilac White,NP OW 2164 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2164-p/lilac-white,Paint,NP OW 2164 P.png
55,Wall,,230.0,#ECE9E6,233.0,236.0,Nippon,Snow Angel,NP OW 2165 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2165-p/snow-angel,Paint,NP OW 2165 P.png
56,Wall,,228.0,#EAE6E4,230.0,234.0,Nippon,Ice Cube,NP OW 2166 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2166-p/ice-cube,Paint,NP OW 2166 P.png
57,Wall,,233.0,#EDEAE9,234.0,237.0,Nippon,Quiet Poise,NP OW 2167 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2167-p/quiet-poise,Paint,NP OW 2167 P.png
58,Wall,,230.0,#EAE6E6,230.0,234.0,Nippon,Penguin Fur,NP OW 2168 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2168-p/penguin-fur,Paint,NP OW 2168 P.png
59,Wall,,233.0,#EDE8E9,232.0,237.0,Nippon,Enlightened,NP OW 2169 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2169-p/enlightened,Paint,NP OW 2169 P.png
60,Wall,,228.0,#EDE7E4,231.0,237.0,Nippon,White Blossom,NP OW 2170 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2170-p/white-blossom,Paint,NP OW 2170 P.png
61,Wall,,229.0,#EEE9E5,233.0,238.0,Nippon,Fragrant White,NP OW 2171 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2171-p/fragrant-white,Paint,NP OW 2171 P.png
62,Wall,,231.0,#ECE6E7,230.0,236.0,Nippon,Angel Wings,NP OW 2172 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2172-p/angel-wings,Paint,NP OW 2172 P.png
63,Wall,,232.0,#EEE8E8,232.0,238.0,Nippon,Blush White,NP OW 2173 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2173-p/blush-white,Paint,NP OW 2173 P.png
64,Wall,,232.0,#F0E6E8,230.0,240.0,Nippon,Quiet Bloom,NP OW 2174 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2174-p/quiet-bloom,Paint,NP OW 2174 P.png
65,Wall,,223.0,#EAE1DF,225.0,234.0,Nippon,Soft Marion,NP OW 1045 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1045-p/soft-marion,Paint,NP OW 1045 P.png
66,Wall,,223.0,#E9DDDF,221.0,233.0,Nippon,Light Laurels,NP OW 1043 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1043-p/light-laurels,Paint,NP OW 1043 P.png
67,Wall,,222.0,#E5DADE,218.0,229.0,Nippon,Josette,NP OW 1044 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1044-p/josette,Paint,NP OW 1044 P.png
68,Wall,,224.0,#E9E5E0,229.0,233.0,Nippon,Snow Skin,NP OW 2175 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2175-p/snow-skin,Paint,NP OW 2175 P.png
69,Wall,,225.0,#EAE7E1,231.0,234.0,Nippon,Glass Slipper,NP OW 2176 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2176-p/glass-slipper,Paint,NP OW 2176 P.png
70,Wall,,226.0,#EEE6E2,230.0,238.0,Nippon,Healing White,NP OW 2177 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2177-p/healing-white,Paint,NP OW 2177 P.png
71,Wall,,234.0,#F2E9EA,233.0,242.0,Nippon,Angel Pink,NP OW 2178 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2178-p/angel-pink,Paint,NP OW 2178 P.png
72,Wall,,226.0,#F0E9E2,233.0,240.0,Nippon,Innocence,NP OW 2179 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2179-p/innocence,Paint,NP OW 2179 P.png
73,Wall,,227.0,#EDE6E3,230.0,237.0,Nippon,Still Air,NP OW 2180 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2180-p/still-air,Paint,NP OW 2180 P.png
74,Wall,,233.0,#F4EDE9,237.0,244.0,Nippon,Orchid Petal,NP OW 2181 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2181-p/orchid-petal,Paint,NP OW 2181 P.png
75,Wall,,225.0,#EEE7E1,231.0,238.0,Nippon,Mirror Mirror,NP OW 2182 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2182-p/mirror-mirror,Paint,NP OW 2182 P.png
