,Application,Category Tags,Company,Filename,Height (cm),Model Name,Origin Country,Product URL,Type,Width (cm)
31,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nature-mood-glacier-glossy-r_r-500-500-60-user-data-collections-4004-21930-1713752970.jpg,1200,Nature Mood Glacier Glossy R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Nature-Mood-Glacier-Glossy-R-4004?image=21930,Tiles,2800
32,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nature-mood-glacier-glossy-r_r-500-500-60-user-data-collections-4004-21931-1713752972.jpg,1200,Nature Mood Glacier Glossy R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Nature-Mood-Glacier-Glossy-R-4004?image=21931,Tiles,2800
33,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nature-mood-mount-peak-glos-r_r-500-500-60-user-data-collections-4004-21932-1713752973.jpg,1200,Nature Mood Mount Peak Glos R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Nature-Mood-Mount-Peak-Glos-R-4004?image=21932,Tiles,2800
34,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nature-mood-mount-peak-glos-r_r-500-500-60-user-data-collections-4004-21933-1713752974.jpg,1200,Nature Mood Mount Peak Glos R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Nature-Mood-Mount-Peak-Glos-R-4004?image=21933,Tiles,2800
35,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nature-mood-tundra-glossy-r_r-500-500-60-user-data-collections-4004-21934-1713752976.jpg,1200,Nature Mood Tundra Glossy R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Nature-Mood-Tundra-Glossy-R-4004?image=21934,Tiles,2800
36,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nature-mood-tundra-glossy-r_r-500-500-60-user-data-collections-4004-21935-1713752978.jpg,1200,Nature Mood Tundra Glossy R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Nature-Mood-Tundra-Glossy-R-4004?image=21935,Tiles,2800
37,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nature-mood-plank-01-comf-r_r-500-500-60-user-data-collections-4004-21936-1713753003.jpg,1200,Nature Mood Plank 01 Comf R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Nature-Mood-Plank-01-Comf-R-4004?image=21936,Tiles,2800
38,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nature-mood-plank-02-comf-r_r-500-500-60-user-data-collections-4004-21937-1713753004.jpg,1200,Nature Mood Plank 02 Comf R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Nature-Mood-Plank-02-Comf-R-4004?image=21937,Tiles,2800
39,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nature-mood-plank-03-comf-r_r-500-500-60-user-data-collections-4004-21938-1713753005.jpg,1200,Nature Mood Plank 03 Comf R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Nature-Mood-Plank-03-Comf-R-4004?image=21938,Tiles,2800
40,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V3)",Hafary,nature-mood-plank-05-comf-r_r-500-500-60-user-data-collections-4004-21939-1713753007.jpg,1200,Nature Mood Plank 05 Comf R,Italy,https://www.hafary.com.sg/collection/Tiles/Florim-Nature-Mood-Plank-05-Comf-R-4004?image=21939,Tiles,2800
