Name,Color 1,Color 2,Color 3,Color 4
Secret Spring,#8C9B88,#F5E8DA,#735E93,#EFF1EF
Pop the Bubbles,#04F9F2,#0091E7,#005BEA,#0000FF
Shades of Contrast,#B5F2EE,#FF7930,#00E0EA,#F9F1E0
Alluring Shadows,#3D393B,#7E1E80,#9505E3,#B637FB
Ribbon Around Rosettes,#DEB3AD,#EB7C8F,#DC5D85,#DFD1C5
Monochromatic Party,#040000,#F6C7A5,#F2D0C1,#F7F8F8
Sweet Lilac Cake,#A58CB3,#A16AE8,#EAE7FA,#D9A1A0
Soft Pastel Evening,#D0DEE5,#E89394,#F6F1E7,#988E92
Pastel Popsicles,#FCDCA9,#ECC4B3,#B8D0DD,#669DBA
Secret Keeper,#FC4DB0,#F9E830,#221530,#F52870
Pensive Mood,#E5E8E8,#8D9797,#4E545C,#000401
Breakfast Coffee Spread,#6B1B00,#AE8B70,#F9FEFB,#56382D
Still Growing,#719F1E,#4A7212,#D5CE58,#104210
Survived Tide,#9DBED1,#14829F,#D8E3EC,#004F76
Brights and Specs,#21C5C4,#F9E950,#FF94B2,#C14F60
Frozen Berries,#B0B7C0,#171710,#707370,#595E60
February Sky,#F6D4D2,#EDD1FA,#9FA8EB,#4120A9
Unicorn Trail,#E6694C,#FF8D80,#F9C8B0,#68E7E0
Vanilla-frosted Cupcake,#E4F4F3,#A1DBF1,#71D5E4,#00B6BC
Mod Interiors,#73436D,#E5E6E9,#B67C9A,#1F252F
Path at Dusk,#A2C4E0,#F7CB2D,#0D659D,#1390E0
Quiet Beauty,#F1BECA,#B95C50,#CD7E7F,#F3E4E2
Soft Punk,#FBDCC0,#DDAFB0,#8F6980,#1C2520
Lemon Fresh,#FFCE66,#F9AB40,#A9E5D5,#44455B
Sliver of Silver,#E5DACE,#BCBEC0,#5C5350,#3C3630
Lavender Horizon,#603F8B,#B9A7BB,#323B36,#616C59
Candy Corn Craze,#FDD264,#FFC680,#F56B39,#670305
New Beginnings,#EDE7D0,#FDCD93,#034F39,#549369
Earth Hands,#4F3750,#CB9870,#8D8960,#AAA1A0
Summer Flair,#2FF3E0,#FF8000,#E09D60,#1F3960
Antique Rose,#9F90CF,#0461B1,#B1365B,#E9D8E1
Coffee and Berries,#6B3A2C,#C9B1C6,#3B0918,#C9B1C6
Bubble Pop Frosting,#E78484,#FCA4A2,#47D3CE,#C8F4F9
Crystal Feline,#63747A,#C0C2C9,#123175,#5298C1
Cheerful Sands,#29B3FF,#81EAFF,#FBC00E,#FFD774
Mountain Lake,#29660C,#F7E2C7,#578E87,#1C4508
Assorted Sweets,#F8D7A8,#EF9771,#DDDDA4,#7B583D
Turquoise Sky,#C8F4F9,#1592B4,#E0A030,#A06204
Mountains at Dusk,#E08955,#0048A4,#E35A01,#689AB8
Sweet Orchid,#A3C14A,#6D8343,#D103D1,#6E3562
Hawaiian Blossom,#FF0F39,#FEDA15,#7E9DC2,#F8F8F8
Tiny Ripples,#10564F,#21B6A8,#30D9C8,#75E6DA
Sting has Sprung,#A92420,#D1913E,#0E3160,#135390
Starting Blossom,#F2DAD0,#ECB4B9,#EA85C7,#899A89
Egg Carton,#D8CEE6,#72435C,#B4F8C8,#424651
Sliver of Nature,#627E8B,#D2CCCC,#EAEDF0,#184B29
Eighties Skater Girl,#E9679B,#F8CD4F,#B9A3D1,#6EE0E0
Scented Soap,#FFFFFF,#E9D8E1,#E5CEF6,#B655C8
Calm Perspective,#FCF8F6,#00BBD1,#00E0EA,#96A1A8
